country,iso_code,Wealth,year,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_m,trans_prim_m,trans_lowsec_m,attend_higher_1822_m,overage2plus_m
Albania,ALB,Quintile 1,2000,0.9375,0.8752,0.2991,,0,0,,,,89.61538462,89.61538462,89.61538462,,,,,,,,
Albania,ALB,Quintile 2,2000,0.9375,0.9048,0.3668,,0,0,,,,96.1875,96.1875,96.1875,,,,,,,,
Albania,ALB,Quintile 3,2000,0.972225,0.9577,0.4109,,0,0,,,,106.3333333,106.3333333,106.3333333,,,,,,,,
Albania,ALB,Quintile 4,2000,0.9725,0.972,0.6947,,0,0,,,,125,125,125,,,,,,,,
Albania,ALB,Quintile 5,2000,0.964,0.9366,0.5951,,0,0.002085714,,,,143.1428571,143.1428571,143.1428571,,,,,,,,
Argentina,ARG,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Quintile 1,2000,0.9438,0.7781,0.4884,,0.0020125,0.005675,,,,207,207,207,,,,,,,,
Azerbaijan,AZE,Quintile 2,2000,0.9695,0.8851,0.6013,,0,0.003141667,,,,161.75,161.75,161.75,,,,,,,,
Azerbaijan,AZE,Quintile 3,2000,0.9689,0.8673,0.6368,,0,0.003411111,,,,144.8888889,144.8888889,144.8888889,,,,,,,,
Azerbaijan,AZE,Quintile 4,2000,0.9864,0.9106,0.6996,,0,0,,,,177.7777778,177.7777778,177.7777778,,,,,,,,
Azerbaijan,AZE,Quintile 5,2000,0.985625,0.9617,0.8482,,0,0.001509091,,,,140.3636364,140.3636364,140.3636364,,,,,,,,
Belgium,BEL,Quintile 1,2000,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Quintile 2,2000,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Quintile 3,2000,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Quintile 4,2000,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Quintile 5,2000,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Quintile 1,2000,0.549533333,0.483144444,0.2336,,0.0238,0.174476923,0.087566667,0.198366667,0.427033333,103.6923077,103.6923077,103.6923077,,,,,,,,
